Date,Price,NAV
06.01.1997,500.0,21400.0
07.01.1997,500.0,21400.0
08.01.1997,500.0,41395.0
09.01.1997,500.0,111038.0
10.01.1997,500.0,140125.0
13.01.1997,500.0,139820.0
14.01.1997,500.0,139837.0
15.01.1997,500.0,139802.0
16.01.1997,500.0,140067.0
17.01.1997,500.0,186380.0
20.01.1997,500.0,313532.0
21.01.1997,500.0,313282.0
22.01.1997,500.0,313327.0
23.01.1997,500.0,314785.0
24.01.1997,500.0,326522.0
27.01.1997,500.0,327605.0
28.01.1997,500.0,327620.0
29.01.1997,500.0,332460.0
30.01.1997,500.0,333117.0
31.01.1997,500.0,332979.0
03.02.1997,500.0,332800.0
04.02.1997,500.0,337780.0
05.02.1997,500.0,337614.0
06.02.1997,500.0,342119.0
07.02.1997,500.0,345504.0
10.02.1997,500.0,345237.0
11.02.1997,500.0,426239.0
12.02.1997,500.0,541345.0
13.02.1997,500.0,541215.0
14.02.1997,500.0,616164.0
17.02.1997,500.0,627872.0
18.02.1997,500.0,627083.0
19.02.1997,500.0,673903.0
20.02.1997,500.0,672048.0
21.02.1997,500.0,671434.0
24.02.1997,500.0,700201.0
25.02.1997,500.0,740485.0
26.02.1997,500.0,740225.0
27.02.1997,500.0,798189.0
28.02.1997,500.0,864194.0
03.03.1997,500.0,1011120.0
04.03.1997,500.0,1027509.0
05.03.1997,500.0,1069927.0
06.03.1997,500.0,1088875.0
07.03.1997,500.0,1424395.0
10.03.1997,500.0,1424395.0
11.03.1997,500.0,1443774.0
12.03.1997,500.0,1443065.0
13.03.1997,500.0,1506093.0
14.03.1997,500.0,1521656.0
17.03.1997,500.0,1556818.0
18.03.1997,500.0,1603662.0
19.03.1997,500.0,1731586.0
20.03.1997,500.0,1820390.0
21.03.1997,500.0,2005563.0
24.03.1997,500.0,2144555.0
25.03.1997,500.0,2485226.0
26.03.1997,500.0,2540390.0
27.03.1997,500.0,2607708.0
28.03.1997,500.0,2647063.0
31.03.1997,505.3,2646291.0
01.04.1997,504.52,2642188.0
02.04.1997,504.41,2667961.0
03.04.1997,506.48,2678910.0
04.04.1997,509.51,2694954.0
07.04.1997,509.01,2692284.0
08.04.1997,509.28,2693717.0
09.04.1997,509.17,2693133.0
10.04.1997,510.91,2688501.0
11.04.1997,510.92,2688543.0
14.04.1997,510.69,2699343.0
15.04.1997,513.38,2713561.0
16.04.1997,513.27,2712973.0
17.04.1997,515.09,2722595.0
18.04.1997,515.57,2725129.0
21.04.1997,516.21,2810499.0
22.04.1997,518.22,2821444.0
23.04.1997,518.11,2820833.0
24.04.1997,521.47,2849152.0
25.04.1997,523.54,2725611.0
28.04.1997,522.61,2726774.0
29.04.1997,524.8,2738180.0
30.04.1997,526.87,2790609.0
05.05.1997,526.07,2786384.0
06.05.1997,527.54,2794166.0
07.05.1997,527.43,2793561.0
08.05.1997,529.72,2805712.0
12.05.1997,530.5,2809805.0
13.05.1997,531.29,2813986.0
14.05.1997,531.17,2813376.0
15.05.1997,535.08,2783256.0
16.05.1997,535.52,2786519.0
19.05.1997,537.13,2765357.0
20.05.1997,538.39,2771857.0
21.05.1997,538.27,2781254.0
22.05.1997,541.15,2820125.0
23.05.1997,542.35,2826396.0
26.05.1997,542.89,2829193.0
27.05.1997,541.48,2821862.0
28.05.1997,541.36,2821251.0
29.05.1997,544.15,2852994.0
30.05.1997,547.83,2872296.0
02.06.1997,548.79,2944857.0
03.06.1997,553.02,2984669.0
04.06.1997,552.89,3007546.0
05.06.1997,557.19,3101661.0
06.06.1997,557.68,3104393.0
09.06.1997,558.67,3282769.0
10.06.1997,560.12,3291281.0
11.06.1997,560.0,3442435.0
12.06.1997,560.0,3442435.0
13.06.1997,562.74,3486271.0
16.06.1997,560.95,3475194.0
17.06.1997,560.39,3535223.0
18.06.1997,560.29,3583985.0
19.06.1997,562.0,3620875.0
20.06.1997,562.51,3694368.0
23.06.1997,563.03,3496235.0
24.06.1997,564.16,3502598.0
25.06.1997,564.06,3501966.0
26.06.1997,564.92,3470602.0
27.06.1997,564.13,3465759.0
30.06.1997,564.55,3468347.0
01.07.1997,564.84,3470092.0
02.07.1997,564.73,3511958.0
03.07.1997,566.87,3525222.0
